0.387	0.376	0.398	-0.142	0.226	0.453	-0.287	0.201	0.045	0.509	0.469	0.553	0.332	0.291	0.352	0.509	0.173	0.386	0.473	0.518	0.565	0.447	0.276	0.269	0.434	0.453	0.411	0.432	0.226	0.359	0.313	0.279	1.000	0.089	0.090	0.093	0.070	0.131	0.107	0.107	-0.008	-0.116
0.490	0.484	0.496	-0.127	0.632	0.430	0.093	0.161	0.117	0.384	0.421	0.329	-0.206	-0.131	-0.242	0.384	0.148	0.533	0.398	0.343	0.210	0.171	0.539	0.548	0.445	0.451	0.489	0.391	0.729	0.473	0.511	0.252	0.089	1.000	1.000	0.995	0.829	0.932	0.641	-0.114	0.086	0.045
0.491	0.484	0.497	-0.127	0.632	0.431	0.091	0.161	0.117	0.385	0.422	0.330	-0.206	-0.131	-0.242	0.385	0.148	0.534	0.399	0.344	0.211	0.172	0.539	0.548	0.446	0.451	0.490	0.392	0.730	0.473	0.512	0.252	0.090	1.000	1.000	0.996	0.828	0.933	0.642	-0.115	0.085	0.047
0.503	0.497	0.509	-0.130	0.647	0.441	0.096	0.156	0.108	0.397	0.434	0.340	-0.204	-0.125	-0.242	0.397	0.153	0.547	0.411	0.357	0.219	0.178	0.554	0.562	0.457	0.466	0.502	0.402	0.743	0.486	0.523	0.263	0.093	0.995	0.996	1.000	0.826	0.933	0.650	-0.108	0.096	0.027
0.502	0.494	0.509	-0.188	0.575	0.468	0.007	0.182	-0.012	0.450	0.475	0.410	0.014	0.092	-0.034	0.450	0.180	0.546	0.473	0.388	0.316	0.245	0.503	0.519	0.475	0.509	0.534	0.470	0.635	0.464	0.544	0.191	0.070	0.829	0.828	0.826	1.000	0.872	0.809	0.054	0.059	-0.123
0.584	0.578	0.589	-0.157	0.700	0.536	0.047	0.154	0.095	0.480	0.519	0.421	-0.177	-0.100	-0.217	0.480	0.201	0.628	0.501	0.410	0.299	0.242	0.618	0.627	0.544	0.549	0.612	0.525	0.775	0.546	0.611	0.284	0.131	0.932	0.933	0.933	0.872	1.000	0.703	-0.098	0.110	0.002
0.551	0.545	0.557	-0.235	0.593	0.539	-0.075	0.134	-0.194	0.511	0.529	0.478	0.076	0.124	0.045	0.511	0.237	0.551	0.562	0.433	0.406	0.282	0.511	0.536	0.541	0.580	0.603	0.565	0.585	0.501	0.577	0.276	0.107	0.641	0.642	0.650	0.809	0.703	1.000	0.190	-0.116	-0.102
0.219	0.226	0.211	-0.010	0.042	0.203	0.053	-0.136	-0.548	0.284	0.281	0.283	0.374	0.407	0.323	0.284	0.117	0.128	0.261	0.295	0.368	0.345	0.164	0.172	0.235	0.254	0.187	0.225	-0.004	0.230	0.221	0.120	0.107	-0.114	-0.115	-0.108	0.054	-0.098	0.190	1.000	-0.591	-0.555
-0.154	-0.162	-0.146	-0.002	-0.066	-0.151	-0.005	0.160	0.337	-0.169	-0.169	-0.167	-0.133	-0.097	-0.146	-0.169	-0.099	-0.041	-0.166	-0.190	-0.228	-0.211	-0.115	-0.128	-0.166	-0.158	-0.096	-0.133	0.066	-0.184	-0.147	-0.142	-0.008	0.086	0.085	0.096	0.059	0.110	-0.116	-0.591	1.000	-0.343
-0.095	-0.096	-0.094	0.014	0.019	-0.081	-0.056	-0.007	0.290	-0.156	-0.153	-0.158	-0.299	-0.375	-0.226	-0.156	-0.034	-0.107	-0.132	-0.147	-0.193	-0.184	-0.072	-0.068	-0.103	-0.132	-0.119	-0.125	-0.064	-0.078	-0.106	0.007	-0.116	0.045	0.047	0.027	-0.123	0.002	-0.102	-0.555	-0.343	1.000
